# Echo 22 focal plane parameters from Figure 7 of DESI-0329v3.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below						
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
237	0.960321627	3.85493867	3.735463564	14.57694951	14.1389715	70.67104549	68.54766822
238	0.964251682	3.856419732	3.735933866	14.58238731	14.14073723	70.6974087	68.5562287
239	0.96818027	3.857906867	3.736405999	14.58783646	14.14250705	70.72382695	68.56480904
240	0.972107386	3.859400073	3.736879959	14.59330021	14.14428187	70.75031595	68.57341358
241	0.976033024	3.860899349	3.737355745	14.5987818	14.14606257	70.77689146	68.58204666
242	0.97995718	3.862404693	3.737833357	14.60428449	14.14785005	70.80356921	68.59071263
243	0.98387985	3.863916105	3.738312792	14.6098115	14.14964521	70.83036494	68.59941583
244	0.987801027	3.865433581	3.738794048	14.6153661	14.15144895	70.85729437	68.60816061
245	0.991720707	3.866957122	3.739277123	14.62095144	14.15326215	70.8843729	68.61695122
246	0.995638886	3.868486726	3.739762016	14.62656841	14.15508518	70.91160475	68.62578951
247	0.999555558	3.870022391	3.740248724	14.63221519	14.15691783	70.93898108	68.63467445
248	1.003470719	3.871564117	3.740737247	14.63788979	14.15875986	70.96649231	68.64360486
249	1.007384364	3.873111902	3.741227583	14.64359023	14.16061102	70.99412885	68.65257955
250	1.011296487	3.874665745	3.741719729	14.64931455	14.16247107	71.02188113	68.66159733
251	1.015207085	3.876225646	3.742213683	14.65506076	14.16433976	71.04973954	68.67065702
252	1.019116152	3.877791602	3.742709445	14.66082689	14.16621686	71.07769452	68.67975743
253	1.023023683	3.879363613	3.743207013	14.66661096	14.16810211	71.10573647	68.68889739
254	1.026929674	3.880941678	3.743706384	14.67241145	14.1699952	71.13385808	68.69807535
255	1.03083412	3.882525795	3.744207556	14.67822872	14.17189553	71.16206097	68.7072884
256	1.034737018	3.884115965	3.744710528	14.68406353	14.17380243	71.19034895	68.7165333
257	1.038638364	3.885712187	3.745215298	14.68991668	14.17571522	71.21872583	68.7258068
258	1.042538154	3.887314458	3.745721866	14.69578896	14.17763325	71.2471954	68.73510566
259	1.046436384	3.888922779	3.746230227	14.70168113	14.17955584	71.27576149	68.74442661
260	1.050333049	3.890537149	3.746740381	14.707594	14.18148231	71.30442789	68.75376642
261	1.054228147	3.892157567	3.747252326	14.71352835	14.183412	71.33319842	68.76312184
262	1.058121673	3.893784033	3.74776606	14.71948494	14.1853443	71.36207677	68.77248988
263	1.062013623	3.895416546	3.748281581	14.72546413	14.18727956	71.39106471	68.7818723
264	1.065903992	3.897055106	3.748798887	14.73146592	14.18921903	71.42016223	68.79127512
265	1.069792774	3.898699712	3.749317977	14.73749032	14.19116398	71.4493693	68.8007045
266	1.073679966	3.900350364	3.749838849	14.74353729	14.19311568	71.47868587	68.81016658
267	1.077565562	3.902007062	3.7503615	14.74960684	14.19507539	71.50811189	68.81966754
268	1.081449556	3.903669805	3.750885929	14.75569896	14.19704439	71.53764732	68.82921352
269	1.085331945	3.905338592	3.751412134	14.76181364	14.19902395	71.5672921	68.83881069
270	1.089212724	3.907013425	3.751940114	14.76795086	14.20101534	71.59704619	68.8484652
271	1.093091887	3.908694304	3.752469866	14.77411054	14.20301935	71.62690917	68.85818092
272	1.09696943	3.910381226	3.753001388	14.78029233	14.20503516	71.65687933	68.86795388
273	1.100845351	3.912074194	3.753534678	14.78649582	14.20706164	71.6869547	68.87777851
274	1.104719644	3.913773206	3.754069736	14.79272061	14.20909761	71.7171333	68.88764919
275	1.108592306	3.915478265	3.754606558	14.79896627	14.21114193	71.74741316	68.89756032
276	1.112463334	3.917189369	3.755145143	14.80523242	14.21319344	71.7777923	68.90750631
277	1.116332723	3.918906518	3.755685489	14.81151864	14.21525098	71.80826875	68.91748156
278	1.120200469	3.920629713	3.756227594	14.81782452	14.2173134	71.83884053	68.92748046
279	1.12406657	3.922358956	3.756771457	14.82414969	14.21937957	71.86950578	68.93749751
