DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,PETAL_LOC,DEVICE_LOC,FVC_ID,SLIT_ID,SLITBLOCK_ID,BLOCKFIBER_ID,SPECTRO_ID,ENABLED
M08233,POS,1,15,8233,3,380,1380,,,,,N/A
M08234,POS,1,11,8234,3,79,1079,,,,,N/A
M08235,POS,1,11,8235,3,89,1089,,,,,N/A
M08236,POS,1,11,8236,3,61,1061,,,,,N/A
M08238,POS,1,14,8238,3,434,1434,,,,,N/A
M08239,POS,1,14,8239,3,457,1457,,,,,N/A
M08240,POS,1,12,8240,3,101,1101,,,,,N/A
M08241,POS,1,12,8241,3,200,1200,,,,,N/A
M08242,POS,1,12,8242,3,216,1216,,,,,N/A
M08243,POS,1,12,8243,3,185,1185,,,,,N/A
M08244,POS,1,12,8244,3,137,1137,,,,,N/A
M08245,POS,1,12,8245,3,125,1125,,,,,N/A
M08246,POS,1,22,8246,3,459,1459,,,,,N/A
M08247,POS,1,12,8247,3,215,1215,,,,,N/A
M08257,POS,1,14,8257,3,458,1458,,,,,N/A
M08258,POS,1,14,8258,3,511,1511,,,,,N/A
M08259,POS,1,14,8259,3,476,1476,,,,,N/A
M08260,POS,1,14,8260,3,477,1477,,,,,N/A
M08261,POS,1,14,8261,3,495,1495,,,,,N/A
M08264,POS,1,14,8264,3,512,1512,,,,,N/A
M08265,POS,1,16,8265,3,521,1521,,,,,N/A
M08266,POS,1,16,8266,3,448,1448,,,,,N/A
M08267,POS,1,16,8267,3,507,1507,,,,,N/A
M08268,POS,1,14,8268,3,456,1456,,,,,N/A
M08269,POS,1,23,8269,3,177,1177,,,,,N/A
M08270,POS,1,23,8270,3,224,1224,,,,,N/A
M08271,POS,1,15,8271,3,403,1403,,,,,N/A
M08272,POS,1,16,8272,3,503,1503,,,,,N/A
M08273,POS,1,16,8273,3,487,1487,,,,,N/A
M08274,POS,1,16,8274,3,488,1488,,,,,N/A
M08275,POS,1,16,8275,3,518,1518,,,,,N/A
M08276,POS,1,16,8276,3,489,1489,,,,,N/A
M08277,POS,1,16,8277,3,520,1520,,,,,N/A
M08278,POS,1,16,8278,3,470,1470,,,,,N/A
M08279,POS,1,15,8279,3,300,1300,,,,,N/A
M08280,POS,1,15,8280,3,339,1339,,,,,N/A
M08281,POS,1,15,8281,3,340,1340,,,,,N/A
M08283,POS,1,12,8283,3,310,1310,,,,,N/A
M08284,POS,1,23,8284,3,208,1208,,,,,N/A
M08285,POS,1,14,8285,3,472,1472,,,,,N/A
M08289,POS,1,16,8289,3,519,1519,,,,,N/A
M08292,POS,1,16,8292,3,505,1505,,,,,N/A
M08293,POS,1,23,8293,3,163,1163,,,,,N/A
M08294,POS,1,23,8294,3,242,1242,,,,,N/A
M08295,POS,1,23,8295,3,164,1164,,,,,N/A
M08305,POS,1,12,8305,3,236,1236,,,,,N/A
M08306,POS,1,13,8306,3,90,1090,,,,,N/A
M08312,POS,1,15,8312,3,360,1360,,,,,N/A
M08314,POS,1,13,8314,3,92,1092,,,,,N/A
M08315,POS,1,23,8315,3,192,1192,,,,,N/A
M08316,POS,1,12,8316,3,253,1253,,,,,N/A
M08317,POS,1,16,8317,3,506,1506,,,,,N/A
M08320,POS,1,15,8320,3,381,1381,,,,,N/A
M08326,POS,1,15,8326,3,319,1319,,,,,N/A
M08331,POS,1,15,8331,3,402,1402,,,,,N/A
M08340,POS,1,15,8340,3,358,1358,,,,,N/A
M08348,POS,1,15,8348,3,299,1299,,,,,N/A
