PETAL_ID,PETAL_LOC,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,X_PTL,Y_PTL,Z_PTL,X_MNT,Y_MNT,Z_MNT,PTL_SOURCE,PROJ_DISTANCE,PROVENANCE,NOTES,X_FP,Y_FP,Z_FP,LOCATION
1,0,19,POS,0,75.0414094219682,32.35705488491214,-0.6684987925233372,74.018051,31.908897999999997,-87.161284,Calculated,86.5,DESI-3543,,13.317523706794393,80.62776005309613,-0.6684987925233372,2019
1,0,20,POS,0,69.81629437999466,41.42475774348389,-0.6584343941029687,68.865094,40.852318,-87.15131,Calculated,86.5,DESI-3543,,2.8641731468420417,81.13027811640553,-0.6584343941029687,2020
1,0,21,POS,0,101.07319445088487,5.242953541479626,-1.0396279981858498,99.686982,5.137854,-87.528456,Calculated,86.5,DESI-3543,,50.19828674342105,87.88294036028708,-1.0396279981858498,2021
1,0,22,POS,0,95.86194661112462,14.244959050512398,-0.9451466912777988,94.55702600000001,14.047564999999999,-87.435078,Calculated,86.5,DESI-3543,,39.807711078216315,88.3616308424541,-0.9451466912777988,2022
1,0,23,POS,0,90.66094455200228,23.31886518859057,-0.8783386807215265,89.427982,22.992973000000003,-87.368937,Calculated,86.5,DESI-3543,,29.362168938784507,88.88779092741123,-0.8783386807215265,2023
1,0,24,POS,0,85.46140890237878,32.35653494879853,-0.835588222658501,84.289484,31.906640999999997,-87.326479,Calculated,86.5,DESI-3543,,18.947910964358595,89.39560635489391,-0.835588222658501,2024
1,0,25,POS,0,80.22562332895669,41.38995774952829,-0.8310321797276004,79.138293,40.814119,-87.322281,Calculated,86.5,DESI-3543,,8.517640765691326,89.87062388129955,-0.8310321797276004,2025
1,0,26,POS,0,111.48427795001571,5.253709885398656,-1.2780993034905492,109.950666,5.136033,-87.764423,Calculated,86.5,DESI-3543,,55.814368013276706,96.64937672264011,-1.2780993034905492,2026
1,0,27,POS,0,106.26945209082517,14.24739983393102,-1.1758609329904317,104.823989,14.044141,-87.66354399999999,Calculated,86.5,DESI-3543,,45.42885643880685,97.12056348876051,-1.1758609329904317,2027
1,0,28,POS,0,101.06302103431167,23.30740003571029,-1.0938118020051775,99.690432,22.984185,-87.582317,Calculated,86.5,DESI-3543,,34.992082441478175,97.63464182048884,-1.0938118020051775,2028
