,exp_id,date,n_iterations,ra,dec,mountha,mountaz,zd,airmass,guide_rms,guide_rms_ra,guide_rms_dec,centroids_rms_ra,centroids_rms_dec,centroids_std_ra,centroids_std_dec,field_rotation_rate,field_rotation_init,field_rotation_rate_slope_std,field_rotation_rate_linregress_std,psf_fwhm,psf_fwhm_std,psf_fit,effective_seeing
180,53080,2020-03-05 06:26:08.896930,66,195.01155,28.997049,-49.411587,80.594829,42.319021,1.351401,151.9103740663197,130.2101729040617,78.24367464059652,93.33719538614356,42.90882195426181,22.95730374109265,15.581369793893696,0.01818263066176055,-1.60728984931954,0.20730848834376853,0.6676317995206257,1.0468646697389374,0.09102762189788088,0.13707108039271715,1.1062957880221354
181,53078,2020-03-05 06:12:13.707297,114,195.013679,28.996259,-54.870282,78.554899,46.873621,1.461286,144.45132873119607,102.49049523235128,101.7933433935415,157.1173911760038,58.410952596058756,51.669716539019426,18.378659722015417,-0.029587001235497172,-2.399666236109401,0.135687544432647,0.7443808509119354,1.020523299755109,0.07663640389915259,0.09978316412977578,1.075720459478781
182,53074,2020-03-05 05:32:52.741760,61,133.420242,11.646261,-0.964502,177.280957,20.336457,1.066342,126.44900631777186,116.36472581496922,49.48334856048998,81.53133980106345,53.52118978054895,14.517331635322446,14.645092696480216,0.15459138232357492,-1.6614803529788098,0.17957364418045374,0.5316190747487275,0.9227023110244736,0.06690816506469484,0.08516982753868813,0.9695583226387524
183,53073,2020-03-05 05:19:50.708079,61,133.420771,11.64624,-4.217662,168.23368,20.685195,1.068768,136.047613883188,109.6354046795857,80.55452367218423,82.02206057407953,56.34945870190813,18.30854113891714,14.134635644826323,0.08906819565668583,-1.0512113843066333,0.14943911235699064,0.4403519389784227,0.9634528718742306,0.10537460942620705,0.09290997252847763,1.0153210637246997
184,53071,2020-03-05 05:06:42.888004,78,133.42145,11.646171,-8.252273,157.646208,21.692408,1.07606,127.63893525575162,108.91468466193271,66.5529057082688,63.8821273595274,55.45645457698587,14.095807449002569,12.912874923479222,-0.01375153419975964,-1.1394181248466713,0.10571609443291767,0.4018904741865893,0.8879174521997913,0.08701131815792314,0.0760694766276464,0.9374101309464734
185,53069,2020-03-05 04:50:25.672703,85,133.422208,11.64606,-12.604496,147.440897,23.399371,1.089424,135.08499730029692,119.82242675840864,62.37421375333741,48.80834036505838,63.115293944860746,14.445969290391682,15.08515352394635,0.05466465059581378,-2.8954414538881332,0.09580217042958715,0.3937839848863447,0.8726191017360357,0.056595672142276496,0.05130762735375918,0.9287907458690308
186,53068,2020-03-05 04:30:14.930579,76,133.423192,11.64586,-17.280745,138.061389,25.805628,1.110533,151.39135768401164,127.71334587826213,81.29356964722203,65.21902508729467,60.095867336896816,13.15747679643906,12.922985179184748,-0.0055244443789537355,-2.7003851758816655,0.11394263297283269,0.4184944032499473,0.9059913882203644,0.06930051895578822,0.0429051612896351,0.9736078345620329
187,53067,2020-03-05 04:10:34.578554,18,104.998521,38.000951,8.61828,312.942446,9.282734,1.013245,133.63929306711245,112.51976598380308,72.10244735394048,95.14018369238347,51.04753485752376,16.940618711374388,13.79294572669155,0.0893344818786703,1.7262278908612503,0.7514588785699492,0.6861288448168492,1.3850240703232974,0.11754933926656157,0.08042770050629215,1.4203258604849915
188,53066,2020-03-05 04:00:25.459065,18,104.999,38.000971,6.081709,322.174368,7.824235,1.00938,160.7782122125995,149.38074023945575,59.45610118223291,74.32172309284938,62.28933077012866,15.952484264711085,29.313150617449068,-0.0782181517363102,1.5851732554208964,1.0758903164995586,0.962405023952295,0.8636866419590471,0.07700685636697246,0.030282261061865566,0.943024609844369
189,53063,2020-03-05 03:43:10.274115,21,104.9998,38.000981,1.639616,347.920232,6.184991,1.005844,123.82428574380991,88.88315499109815,86.21043149638628,93.0863611777346,48.624796178424305,14.508165346795208,7.705878769358738,0.3402553029668187,0.06123125105315674,0.30643793781752116,0.31665073417521017,0.9818430116917425,0.08468919239243462,0.07648430933684751,1.0242250109246451
