col0,Petal ID,Petal Loc ID,Device Loc ID,Device Type,DOTID,XPL,YPL,ZPL,X MNT,Y MNT,Z MNT,FCL Source,Proj Distance,Provenance,Notes,XFP,YFP,ZFP,LOCATION,XPIX,YPIX
1688,5,1,533,FIF,3,368.2572443,175.6703027,-18.8235531,364.900286,163.963722,-104.843363,Measured,86.5,"DESI-4881, DESI-3543",,280.9255479259006,-295.92404118785635,-18.8235531,1533,1201.313,1187.538
1689,5,1,533,FIF,4,367.8535648,176.5848932,-18.8140502,364.900286,163.963722,-104.843363,Measured,86.5,"DESI-4881, DESI-3543",,281.67054212006974,-295.25739542580226,-18.8140502,1533,1196.654,1191.781
1687,5,1,533,FIF,2,367.4499691,177.5007016,-18.839687,364.900286,163.963722,-104.843363,Measured,86.5,"DESI-4881, DESI-3543",,282.41672046187176,-294.5904528519664,-18.839687,1533,1192.016,1196.018
3878,9,9,482,FIF,1,404.3205159,60.3078238,-18.9444755,395.40842000000004,58.023990000000005,-104.808825,Measured,86.5,"DESI-4890, DESI-3543",,-291.7247071356234,-286.4153324694086,-18.9444755,9482,4806.505,1227.859
3880,9,9,482,FIF,3,405.1169182,59.4174449,-19.036838,395.40842000000004,58.023990000000005,-104.808825,Measured,86.5,"DESI-4890, DESI-3543",,-292.8923294891064,-286.16296518021016,-19.036838,9482,4814.0,1230.0
3881,9,9,482,FIF,4,404.1275318,59.3266362,-18.8875266,395.40842000000004,58.023990000000005,-104.808825,Measured,86.5,"DESI-4890, DESI-3543",,-292.1451914267377,-285.50804809823677,-18.8875266,9482,4809.305,1233.381
3879,9,9,482,FIF,2,403.1467984,59.2362992,-18.7863207,395.40842000000004,58.023990000000005,-104.808825,Measured,86.5,"DESI-4890, DESI-3543",,-291.4047772285111,-284.85859787650384,-18.7863207,9482,4805.311,1236.854
1699,5,1,542,GIF,2,358.0623206,202.4162301,-19.3741748,,,,Measured,,DESI-4881,,303.20962722372826,-277.96016322169817,-19.3741748,1542,1062.746,1302.565
1701,5,1,542,GIF,4,357.079318,202.5768343,-19.2370802,,,,Measured,,DESI-4881,,303.0584745928769,-276.97566299170774,-19.2370802,1542,1063.46,1308.469
1698,5,1,542,GIF,1,356.6535655,201.6783936,-19.1704619,,,,Measured,,DESI-4881,,302.07242492288793,-276.8485137448073,-19.1704619,1542,1069.371,1308.96
1700,5,1,542,GIF,3,356.0924704,202.7376277,-19.1910846,,,,Measured,,DESI-4881,,302.90631323423315,-275.98744761839845,-19.1910846,1542,1064.152,1314.406
1668,5,1,321,FIF,3,305.0612561,86.2668956,-11.1846645,298.920938,84.884336,-97.374768,Measured,86.5,"DESI-4881, DESI-3543",,176.36487421369907,-263.4622538292804,-11.1846645,1321,1842.671,1361.378
1666,5,1,321,FIF,1,304.5897311,87.3722033,-11.1927035,298.920938,84.884336,-97.374768,Measured,86.5,"DESI-4881, DESI-3543",,177.27026930265046,-262.67212683302796,-11.1927035,1321,1836.885,1366.383
1669,5,1,321,FIF,4,304.0905295,86.504533,-11.1026576,298.920938,84.884336,-97.374768,Measured,86.5,"DESI-4881, DESI-3543",,176.29077637789206,-262.46561388599355,-11.1026576,1321,1843.023,1367.48
1667,5,1,321,FIF,2,303.1206225,86.7421565,-11.0721912,298.920938,84.884336,-97.374768,Measured,86.5,"DESI-4881, DESI-3543",,176.21691869764794,-261.46975769182177,-11.0721912,1321,1843.381,1373.613
1680,5,1,496,FIF,3,331.8397859,185.1978592,-16.1996538,324.22842,181.959171,-102.218599,Measured,86.5,"DESI-4881, DESI-3543",,278.72814850305764,-258.34509701757776,-16.1996538,1496,1207.241,1415.612
1112,4,0,239,FIF,1,216.4469154,150.2105892,-7.7392098,212.22745600000002,147.452551,-93.968055,Measured,86.5,"DESI-4900, DESI-3543",,75.98538814705805,-252.26280066555304,-7.7392098,239,2481.589,1416.355
1114,4,0,239,FIF,3,216.1586734,149.0407683,-7.6835754,212.22745600000002,147.452551,-93.968055,Measured,86.5,"DESI-4900, DESI-3543",,74.96215890954629,-251.62674538796946,-7.6835754,239,2488.092,1420.215
1678,5,1,496,FIF,1,331.3898337,186.3115456,-16.2368805,324.22842,181.959171,-102.218599,Measured,86.5,"DESI-4881, DESI-3543",,279.64818097085674,-257.57289585335616,-16.2368805,1496,1201.506,1420.546
1681,5,1,496,FIF,4,330.8742867,185.4578133,-16.1113359,324.22842,181.959171,-102.218599,Measured,86.5,"DESI-4881, DESI-3543",,278.6768902077887,-257.3465293301006,-16.1113359,1496,1207.375,1421.68
