  672  ,   rays      DESI-ADC-2.RAY    672 rays = 8 wavels, 84 pupil locations
 X0        , Y0        , Z0    ,U0east ,V0south ,@wave , Xgoal  ,  Ygoal ,XfEast ,YfSouth ,notes ,
 -1308.045 , 755.200   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.024, -0.0099, OK26 ,
 -1458.934 , 390.920   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 -1510.400 , 0.000     , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.027,  0.0000, OK26 ,
 -1458.934 , -390.920  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.026,  0.0051, OK26 ,
 -1308.045 , -755.200  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.024,  0.0099, OK26 ,
 -1068.014 , -1068.014 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.021,  0.0141, OK26 ,
 -755.200  , -1308.045 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.017,  0.0174, OK26 ,
 -390.920  , -1458.934 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.012,  0.0196, OK26 ,
 -0.000    , -1510.400 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak22,
 390.920   , -1458.934 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 755.200   , -1308.045 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.003,  0.0181, OK26 ,
 1068.014  , -1068.014 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.008,  0.0149, OK26 ,
 1308.045  , -755.200  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.011,  0.0106, OK26 ,
 1458.934  , -390.920  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.013,  0.0055, OK26 ,
 1877.657  , 197.350   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 1795.595  , 583.424   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 1635.056  , 944.000   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.036, -0.0248, OK26 ,
 1403.057  , 1263.319  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.030, -0.0330, OK26 ,
 1109.739  , 1527.424  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.022, -0.0398, OK26 ,
 767.919   , 1724.774  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak26,
 392.537   , 1846.743  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 0.000     , 1888.000  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak22,
 -392.537  , 1846.743  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.017, -0.0472, OK26 ,
 -767.919  , 1724.774  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.026, -0.0439, OK26 ,
 -1109.739 , 1527.424  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.035, -0.0387, OK26 ,
 -1403.057 , 1263.319  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.042, -0.0319, OK26 ,
 -1635.056 , 944.000   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.048, -0.0237, OK26 ,
 -1795.595 , 583.424   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 -1877.657 , 197.350   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak 8,
 -1877.657 , -197.350  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.054,  0.0049, OK26 ,
 -1795.595 , -583.424  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.052,  0.0146, OK26 ,
 -1635.056 , -944.000  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.048,  0.0237, OK26 ,
 -1403.057 , -1263.319 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.042,  0.0319, OK26 ,
 -1109.739 , -1527.424 , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.035,  0.0387, OK26 ,
